FROM,TO,WEIGHT
benavidesmunoz,paz_charpentier,2
benavidesmunoz,sebasti45781359,2
benavidesmunoz,artemisofarica,2
gemavr,chica61432746,2
sillapatrio2017,pelaoqlocomics,2
jgrgurina,sebasti45781359,2
schiappamarcos,ccifuentesh,2
schiappamarcos,crisvillavera,2
joctool,meqchile,2
joctool,jeniffermella,2
joctool,el_ciudadano,2
dandyjom,paz_charpentier,2
juampe_esponda,afc073,2
samuraimatabot,marcetys,2
psjcardenas,gheragor,2
bcf951,24horastvn,2
elyjah567,latendenciacl,2
reol1970,meqchile,2
reol1970,el_ciudadano,2
reol1970,delosquesobran,2
josh91230,joxe_karl,2
juanmaparra4,el_ciudadano,2
veglia_juan,meqchile,2
yungay64,tiapikachu,2
ferojaspaez,chiledespertoi,2
ferojaspaez,afc073,2
ferojaspaez,el_ciudadano,2
starzijan,kekabasualdo,2
arquitectxschd,mpukamau,2
carinasarmien10,joxe_karl,2
karinavelasqu12,el_ciudadano,2
jaireboll,loreto_vallejos,2
revoltosorojo,hugoguionista,2
nattinata,joxe_karl,2
jguerreron13,ecoconstituyent,2
elidanarda,anahidurandg,2
chilelibertad21,panchoorregog,2
arqmneira,constindigena,2
perro_pito_2019,berfontaine,2
perro_pito_2019,sinfiltros_tv,2
tere_laprofe73,karinstaab,2
tere_laprofe73,sebasti45781359,2
tere_laprofe73,chica61432746,2
constituyenteo,lidiayagan,2
valwood,lucasaykal,2
anitace,kekabasualdo,2
anitace,berfontaine,2
anitace,panchoorregog,2
marcelocabrerac,berfontaine,2
marcelocabrerac,lucyanaah,2
marcheporchile,kekabasualdo,2
tatys505,24horastvn,2
c_brulote,divasto,2
c_brulote,juliosanzana,2
c_brulote,panchoorregog,2
c_brulote,gloriaalonsomiq,2
c_brulote,sinfiltros_tv,2
_an_gels,berfontaine,2
kgs79,berfontaine,2
kgs79,ccifuentesh,2
asearrochile,otdchile,2
snpss,anahidurandg,2
vilches_por,jeniffermella,2
lilaromana,edosalascerda,2
sol91394257,24horastvn,2
sol91394257,paz_charpentier,2
andy25690222,angeldlacruz_,2
benitadanae,sebasti45781359,2
benitadanae,sinfiltros_tv,2
diego79858403,artemisofarica,2
aliciaflorescor,kekabasualdo,2
aliciaflorescor,berfontaine,2
alejand04184322,el_ciudadano,2
tiesoemecha,jedomm,2
tiesoemecha,el_ciudadano,2
carlos67360447,el_ciudadano,2
canaito031,berfontaine,2
mi2023pf,oiga_profe,2
mi2023pf,hugoguionista,2
marymarticorena,auroradelgadov,2
emiefs,el_ciudadano,2
jsantibanez16,rkatrileo,2
jsantibanez16,afc073,2
jcsn1972,ccifuentesh,2
mdgalleguillos,camilocammas,2
antoniodoxchile,berfontaine,2
edwardyanez2017,edosalascerda,2
kafkiano0101,berfontaine,2
eduardogonzalo,el_ciudadano,2
maury764,paz_charpentier,2
maury764,berfontaine,2
maury764,alboris1991,2
cron1411,crovanos,2
misthermaximo,kekabasualdo,2
misthermaximo,angeldlacruz_,2
misthermaximo,aldunatefran,2
goffarita1,berfontaine,2
goffarita1,encuestaschil10,2
verocorrea60,miguelhuerta32,2
elena74761844,ccifuentesh,2
elena74761844,conihube,2
nandycorp,paz_charpentier,2
gigi_nomasodio,berfontaine,2
betzaberivas1,miderechoeducar,2
ale_sepulveda_,lucasaykal,2
ale_sepulveda_,paz_charpentier,2
ale_sepulveda_,angeldlacruz_,2
ale_sepulveda_,berfontaine,2
ale_sepulveda_,miderechoeducar,2
manuelg09416464,dpm_chile2020,2
manuelg09416464,afc073,2
rositaacuna,ccifuentesh,2
octavioavendano,ccifuentesh,2
vivirechaza2,24horastvn,2
leppard_vk,paz_charpentier,2
sc_gc,paz_charpentier,2
h3ktor14,crisvillavera,2
danielvp20,ccifuentesh,2
danielvp20,amarillos_chile,2
anitavf4,paz_charpentier,2
makyta11,sinfiltros_tv,2
nlferrer,afc073,2
eduo007,paz_charpentier,2
erickmachmar,paz_charpentier,2
soy_botman_,paz_charpentier,2
aguilasuny,ccifuentesh,2
anitapk4,paz_charpentier,2
jicancinov,panchoorregog,2
sirariann,anahidurandg,2
rodolfo87299598,conihube,2
rodolfo87299598,berfontaine,2
coke92,javiparada,2
moninasoto,mmullor2016,2
tatomunoz,ccifuentesh,2
ysyeya,panchoorregog,2
newegata,paz_charpentier,2
newegata,encuestanonima,2
sca2684,rsumen,2
marcia72576083,luisboz68365075,2
realidadnacion6,paz_charpentier,2
fimasava,ccifuentesh,2
fimasava,berfontaine,2
2007uc,meqchile,2
sergiomusic21,el_ciudadano,2
maeugeniafuica,paz_charpentier,2
maeugeniafuica,kekabasualdo,2
